lpad;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;p509a;p509b;p513a;p513b;p514a;p514b;p515a;p515b;p516a;p516b;p517a;p517b;p518a;p518b;p519a;p519b;p520a;p520b;p525a;p525b;p526a;p526b;p527a;p527b;p528a;p528b;p529a;p529b;p530a;p530b;p531a;p531b;p532a;p532b;p533a;p533b;p534a;p534b;p535a;p535b;p536a;p536b;p537a;p537b;p540a;p540b;p541a;p541b;p542a;p542b;p543a;p543b;p544a;p544b;p545a;p545b;p547a;p547b;p552a;p552b;p553a;p553b;p554a;p554b;p555a;p555b;p556a;p556b;p557a;p557b;p559a;p559b;p560a;p560b;p561a;p561b;p562a;p562b;p563a;p563b;p564a;p564b;p565a;p565b;p566a;p566b;p567a;p567b;p568a;p568b;p569a;p569b;p570a;p570b;p571a;p571b;p573a;p573b;p574a;p574b;p575a;p575b;p577a;p577b;p579a;p579b;p580a;p580b;p581a;p581b;p582a;p582b;p584a;p584b;p585a;p585b;c04gtrhh;c05gtrhh;c06gtrhh;c07gtrhh;c08gtrhh;c11gtrhh;c12gtrhh;c13gtrhh;c14gtrhh;c17gtrhh;c18gtrhh;c19gtrhh;c20gtrhh;c21gtrhh;c22gtrhh;c23gtrhh;c24gtrhh;c25gtrhh;c26gtrhh;c27gtrhh;c02mfarm;c02ffarm;c02hfarm;c03mfarm;c03ffarm;c03hfarm;c07farm;c08farm;c19farm;c04smlf;c05smlf;c06smlf;c07smlf;c08smlf;c09smlf;c10smlf;c11smlf;c12smlf;c13smlf;c14smlf;c15smlf;c16smlf;c17smlf;c18smlf;c19smlf;c20smlf;c21smlf;c22smlf;c23smlf;c24smlf;c25smlf;c26smlf;c27smlf
20.46.43.142.073;1;1413;1295;118;0;361;3;72;96;65;192;55;90;159;79;173;51;17;0;927;10;76;177;223;2;1411;411;1002;3168;3078;0;71;49;0;1491;1346;0;1992.35;177;106.57;1921.92;107.59;4.22;10.73;3.3;125.84;848.67;930.41;10.6;1;5.4;1796.08;815;196;13;471.9;0;5.7;0;0;0;0;0;2;5777;4348;291;192;75;0;8;0;7;0;1040;39;63;0;669;42;33;0;240;0;2;0;4;49;38;5;1;67;4;2;2530;2;56;16;3;207;2;0;0;6;336;18;823;519.44;0.4;7.73;0.22;0;0.22;17.82;25.23;4.55;9.65;5.64;1.67;6.21;13.01;5.7;8.02;2.55;0.63;0.93;0.11;0;152.46;328.76;6.17;0;0.4;224.93;5.43;0.23;9.26;0.1;2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;87.91;14099;13.84;350;42.81;5704;84.01;9294;7.49;1039;18.47;3599;4.3;531;1.7;182;0.28;41;0.02;2;4.34;461;0.57;362;1.69;117;4.16;698;5.64;733;28.48;0;14.89;3912;141.66;0;2.3;333;0.08;8;44.79;6531;480.66;198429;4.14;1083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1369;137;214;1409;1403;10;1408;1020;1280;14;1331;606;0;13;0;0;0;0;0;4;21;17;0;345;303;0;1903.22;95.12;471.9;1954.71;156.1;104.61;1903.22;95.12;3.4;10.66;3.1;112.28;848.02;925.92;10.6;1;5.4;1790.94;471.9;0;5.7;0;0;0;0;0;2
20.46.43.142.113;1;91;84;7;0;59;2;8;10;4;2;1;0;4;0;1;0;0;0;91;0;0;0;0;1;90;0;91;228;208;0;9;2;0;130;112;0;766.98;6;12.9;773.88;15.9;1.48;66;2.4;85.78;247.9;437.6;1.3;0;1.3;688.1;19;33;37;0;0;0;0;0;0;0;0;0;958;230;12;0;0;0;0;0;0;0;34;0;0;0;65;12;0;0;31;0;0;0;0;0;1;0;0;0;0;0;385;0;0;0;0;0;0;0;0;0;8;65.5;15.7;0;0.1;1.1;0;0;0;0.3;5.2;0.3;3;0.05;0.7;0.55;3.35;0.95;4;1.25;0;0;0.06;0;13.41;90.3;4.86;0;0;34.6;2.25;0;1.4;0.1;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;4.12;343;0.95;37;3.25;130;8.55;773;0.1;12;0.9;85;0;0;0.05;6;0;0;0;0;0.15;10;0;0;0;0;0.2;22;0.7;47;5.3;0;2.8;32;85.64;0;7.1;564;0;0;1;0;280.44;74570;0.7;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;6;22;91;88;16;91;91;82;7;91;0;0;0;0;0;0;0;0;0;8;2;0;110;95;0;773.88;15.9;0;766.98;6;12.9;773.88;15.9;1.48;66;2.4;85.78;247.9;437.6;1.3;0;1.3;688.1;0;0;0;0;0;0;0;0;0
20.46.43.142.152;1;88;86;2;0;26;2;12;10;6;19;0;0;9;2;2;0;0;0;79;0;4;4;1;1;87;14;74;191;179;0;0;0;0;120;102;0;426.32;4.2;10.02;432.14;5.42;1.29;4.88;41.8;53.39;64.23;310.32;1.7;0;2.5;378.75;34;41;13;1.6;0;0;0;0;0;0;0;0;703;400;13;0;0;0;0;0;4;0;31;0;0;0;37;0;2;0;44;0;3;0;0;3;12;0;1;0;0;0;152;0;2;0;0;29;1;0;0;0;14;8.19;53.45;11.28;0;0.7;0;0;0;0.36;1.54;0.21;0.77;0.06;0.23;0.32;0.92;0.06;0.52;0.55;0;0;0;0;13.15;29.99;1.04;0;0.22;15.54;0.56;0;0.25;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.55;250;0.25;23;2.55;249;1.44;139;0.28;41;1.12;110;0.08;5;0.01;2;0.01;2;0;0;0.28;24;0;0;0.05;5;0.08;10;0.78;75;8.3;0;0.33;24;73.72;2318;2.55;263;0;0;1.19;1014;210.53;68266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;4;24;88;88;39;88;81;85;5;88;2;0;0;0;0;0;0;0;0;0;0;0;80;67;0;432.14;5.42;1.6;426.32;4.2;10.02;432.14;5.42;1.29;4.88;41.8;53.39;64.23;310.32;1.7;0;2.5;378.75;1.6;0;0;0;0;0;0;0;0
20.46.43.142.153;1;233;222;11;0;96;7;21;32;19;17;10;11;8;7;4;0;1;0;219;0;1;9;4;0;233;79;154;548;529;0;28;34;0;351;302;0;1043.1;1.7;21.91;1063.31;25.74;1.11;17.91;3.3;48.06;329.33;679.12;0.6;2.1;4.1;1015.25;95;108;29;1.1;0;0;0;0;0;0;0;0;2169;1800;70;101;69;0;0;0;0;0;171;0;16;0;253;37;3;0;91;0;1;0;0;9;7;0;2;0;1;0;422;0;16;1;0;37;0;0;0;0;33;19;208.6;8.7;1;6.55;0;0;0.05;1.63;6.45;0;5.18;0.11;0.09;4.75;6.2;4.53;7.18;3.18;0;0;0;0;41.6;125.15;2.29;0;0.05;66.46;2.34;0;4.89;1.1;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.71;2785;2.52;325;17.31;1720;17.6;1855;2.52;409;8.77;1167;1.26;154;0.31;54;0.11;95;0.03;5;2.61;336;0.19;35;1.69;68;2.18;402;3.36;327;8.32;0;6.78;1016;60.15;5486;3.38;326;0;0;1.81;650;498.65;140576;0.14;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;3;33;233;232;5;233;231;232;11;232;2;0;0;0;0;0;0;0;0;17;29;0;232;195;0;1063.28;25.71;1.1;1043.1;1.7;21.88;1063.28;25.71;1.11;17.91;3.3;48.03;329.33;679.12;0.6;2.1;4.1;1015.25;1.1;0;0;0;0;0;0;0;0
20.46.43.142.155;1;273;267;6;0;85;17;33;26;26;34;7;11;13;7;13;0;1;0;268;3;2;0;0;2;271;47;226;669;558;0;1;1;0;294;264;0;1109.53;16.3;22.6;1115.83;23.53;0.06;83.92;2.1;109.61;245.9;737.12;4.6;0;18.6;1006.22;132;104;27;56.8;0;0;0;0;0;0;0;0.3;1180;450;119;45;2;0;0;0;0;0;184;0;28;0;204;0;43;0;23;0;5;0;0;6;4;0;0;0;4;0;681;0;17;1;0;0;0;0;0;0;11;134.47;48.95;2.5;0;2.82;0;0;0.01;11.09;16.63;4.82;1.25;1.63;0.42;6.64;2.16;0;0.42;1.04;3.35;1.45;0.4;0.2;18.39;65.59;11.06;0;0;30.6;0.96;0;0.16;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.71;2057;0.43;2;6.56;469;14.07;1737;0.36;50;11.69;1288;0.05;2;0;0;0;0;0.01;0;1.5;266;0;0;0;0;0.71;569;0.06;5;3.05;0;0.35;50;19.78;0;0;0;0;0;1.5;899;645;190485;2.65;1299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;19;42;273;272;16;273;242;268;107;271;88;0;0;0;0;0;0;0;1;0;0;0;152;135;0;1115.68;23.38;56.8;1109.53;16.3;22.45;1115.68;23.38;0.06;83.92;2.1;109.46;245.9;737.12;4.6;0;18.6;1006.22;56.8;0;0;0;0;0;0;0;0.3
20.46.43.142.372;1;224;214;10;0;37;4;13;36;21;48;5;12;25;12;6;2;3;0;211;0;5;8;0;1;223;147;77;507;488;0;0;0;0;243;190;0;901.73;18.4;30.2;913.53;23.9;2.55;18.6;2.5;47.55;290.2;573.08;1.3;1.4;0;865.98;64;138;15;4.9;0;0.3;0;0;0;0;0;0;1393;0;92;218;19;0;0;0;0;0;116;0;66;9;242;65;71;0;78;0;3;7;0;7;3;0;0;0;0;0;0;11;0;25;0;0;0;0;0;0;48;10.05;152;80.21;0;0.1;0;0;0;2.47;4.52;1.49;2.67;0.62;0;1.21;1.29;0.15;1.97;1.88;0;0;0;0;34.93;119.77;2.26;0;0.15;98.24;5.77;0.01;9.17;0.4;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.19;4259;1.59;69;7.19;617;19.15;2880;0.17;21;1.83;123;0.46;29;0.01;0;0.02;1;0;1;2.21;210;0;0;0.04;2;0.34;29;0.68;59;9.39;0;0.2;38;101.94;0;0.83;82;2.1;510;1;100;377.22;196361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;9;41;224;224;17;224;222;217;0;224;11;0;1;0;0;0;0;0;0;0;0;0;178;143;0;913.53;23.9;4.9;901.73;18.4;30.2;913.53;23.9;2.55;18.6;2.5;47.55;290.2;573.08;1.3;1.4;0;865.98;4.9;0;0.3;0;0;0;0;0;0
20.46.43.142.411;1;99;99;0;0;56;3;7;8;5;9;4;3;2;1;1;0;0;0;99;0;0;0;0;1;98;52;47;254;266;0;0;0;0;140;133;0;110.77;0;0;110.77;8.45;0;0;3.7;12.15;44.32;52.3;2;0;0;98.62;82;12;0;0;0;0;0;0;0;0;0;0;844;0;38;0;0;0;0;0;0;0;157;12;0;0;142;28;0;0;0;0;1;0;0;1;2;0;0;0;0;0;349;4;0;0;0;0;0;0;0;0;24;22.25;25.05;0;0;0.29;0;1;0;7.08;7.43;0.68;0.32;0.99;0;0.56;4.87;0.18;0.22;0.3;0.05;0.5;0.05;0;7.1;22.4;4.6;0;0;5.4;0.31;0.4;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.19;1037;0.77;108;0.35;48;3.88;408;0;0;0.81;146;0;0;0;0;0;0;0;0;0.05;6;0;0;0;0;0;0;0.08;10;0.8;0;0.2;44;0;0;0.2;25;0;0;0;0;34.72;32042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;99;99;35;99;92;96;0;99;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;110.67;8.37;0;110.67;0;0;110.67;8.37;0;0;3.7;12.07;44.32;52.28;2;0;0;98.6;0;0;0;0;0;0;0;0;0
20.46.43.142.522;1;617;530;87;0;181;24;32;29;12;113;34;23;72;24;51;18;3;1;478;4;10;7;118;54;563;227;390;1365;1266;2;125;71;0;810;757;0;2090.02;93.5;107.99;2104.51;74.29;2.33;191.94;5.5;274.06;527.7;1276.75;2.6;0.9;22.5;1830.45;361;190;48;349.8;0;0.9;0;1.1;0;0;0;0.4;4025;965;272;113;8;0;0;0;1;0;697;0;73;21;418;11;21;0;236;0;4;0;0;39;25;9;10;13;16;0;949;10;41;12;0;296;59;0;0;153;247;77.82;266.84;154.75;1.3;6.42;0.66;0;0.27;31.73;31.89;1.93;4.21;2.2;0.25;10.55;9.59;1.51;6.26;2.79;1.54;1.4;0.1;0;77.94;195.33;8.99;0;0.4;98.29;0.86;2.12;0.89;0.4;1.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.84;91.72;12789;10.09;518;27.72;2947;108.55;10799;2.84;377;12.43;803;0.43;51;0.62;767;0.3;18;0.02;1;5.5;938;0.06;3;2.28;106;4.08;345;3.08;196;16.2;0;11.58;1879;156.95;2997;1.1;81;0;1;51.54;10062;764.21;271122;1.28;1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;48;125;617;613;11;616;556;572;14;611;367;0;2;0;2;0;0;0;1;33;14;0;286;267;0;2103.21;73.22;349.8;2088.33;92.5;107.38;2103.21;73.22;2.3;191.94;5.5;272.96;527.62;1276.63;2.6;0.9;22.5;1830.25;349.8;0;0.9;0;1.1;0;0;0;0.4
20.46.43.142.705;1;64;53;11;0;42;2;9;4;2;2;2;0;1;0;0;0;0;0;64;0;0;0;0;0;64;9;55;172;155;0;46;48;0;123;100;0;172.3;0;0.6;172.9;6.28;14.2;1.88;0.3;22.66;38.28;111.96;0;0;0;150.24;44;19;1;0.4;0;0;0;0;0;0;0;0;624;0;0;0;0;0;0;0;0;0;69;0;0;0;55;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;7;0;0;0;0;0;0;0;0;21.45;3;2.2;0;0.44;0;0;0;0;2.59;0;0;0.05;0;0.83;0.07;0.02;0.54;1.35;0;0;0;0;3.95;8.95;1.62;0;0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.35;1577;0;0;2.92;316;1.8;276;0;0;1.61;180;0;0;0;0;0;0;0;0;0.3;28;0;0;0;0;0;0;0;0;0.1;0;0.6;0;4.95;0;0;0;0;0;0;0;92.33;19813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;1;64;64;3;64;57;64;0;64;1;0;0;0;0;0;0;0;0;19;10;0;43;39;0;172.9;6.28;0.4;172.3;0;0.6;172.9;6.28;14.2;1.88;0.3;22.66;38.28;111.96;0;0;0;150.24;0.4;0;0;0;0;0;0;0;0
20.46.43.151.076;3;3415;3132;283;0;652;88;226;152;109;549;116;116;363;210;484;197;117;36;1037;131;466;826;955;48;3367;732;2683;7903;7741;2;33;22;0;1252;954;0;4399.83;460;428.36;4368.19;224.01;29.62;161.88;50.4;465.91;1232.63;2582.95;42.7;19.9;24.1;3902.28;1785;377;70;212.8;0;26.2;6.3;5.4;0.1;0;0;0.82;10781;8460;1221;719;1079;0;42;0;84;130;2232;7799;147;9;1463;47;78;58;450;16;18;0;0;25;34;5;38;36;2;0;4;1;5;11;3;71;4;0;0;26;326;139.41;1002.47;279.04;0.93;12.38;0.19;0.21;1.14;39.64;68.66;15.73;32.94;16.71;3.74;18.93;13.21;16.24;45.25;43.32;7.66;8.55;3.8;5.82;197.49;420.05;21.22;0;3.69;376.04;60.46;2.71;25.02;1.47;3.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;240.56;41805;47.67;2491;86.34;10802;129.51;19032;16.84;2509;39.42;7667;8.61;1113;14.06;567;8.13;280;1;139;5.76;915;1.05;274;4.95;916;14.06;3573;9.66;2105;6.51;0;47.14;12183;169.2;12961;14.09;3030;2.56;519;70.97;7378;1500.87;433261;7.84;4548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3110;284;951;3390;3364;123;3385;2028;2470;30;2731;295;0;39;10;4;1;0;0;3;8;7;0;325;259;0;4293.7;180.07;212.8;4322.61;444.7;415.79;4293.7;180.07;25.55;150.61;46.1;402.33;1230.02;2575.85;41.5;19.9;24.1;3891.37;212.8;0;25;6.3;5.4;0.1;0;0;0.82
